date,ue
2006.8036,-0.083675
2006.8063,-0.076701
2006.809,-0.077699
2006.8118,-0.077238
2006.8145,-0.079192
2006.8172,-0.077986
2006.82,-0.077038
2006.8227,-0.07482
2006.8255,-0.078389
2006.8282,-0.077367
2006.8309,-0.081205
2006.8337,-0.074732
2006.8364,-0.075012
2006.8392,-0.077461
2006.8419,-0.072703
2006.8446,-0.083707
2006.8474,-0.081304
2006.8501,-0.078617
2006.8528,-0.086377
2006.8583,-0.083814
2006.8611,-0.080441
2006.8638,-0.078187
2006.8665,-0.077158
2006.8693,-0.084573
2006.872,-0.079911
2006.8747,-0.082454
2006.8775,-0.079602
2006.8802,-0.079508
2006.883,-0.083073
2006.8857,-0.080197
2006.8884,-0.082703
2006.8912,-0.082659
2006.8939,-0.084829
2006.8966,-0.086088
2006.8994,-0.083026
2006.9021,-0.081012
2006.9049,-0.081778
2006.9076,-0.078566
2006.9103,-0.077117
2006.9131,-0.077153
2006.9185,-0.083614
2006.9213,-0.08229
2006.924,-0.07543
2006.9268,-0.085616
2006.9295,-0.087628
2006.935,-0.082979
2006.9377,-0.087116
2006.9405,-0.089524
2006.9432,-0.082391
2006.9459,-0.077338
2006.9487,-0.085311
2006.9514,-0.082501
2006.9541,-0.085453
2006.9569,-0.098883
2006.9596,-0.085324
2006.9624,-0.079923
2006.9815,-0.085147
2006.9843,-0.085119
2006.987,-0.085568
2006.9897,-0.094283
2006.9925,-0.084664
2006.9952,-0.087342
2007.0116,-0.083611
2007.0144,-0.084247
2007.0198,-0.081287
2007.0226,-0.083664
2007.0253,-0.082136
2007.0281,-0.088092
2007.0308,-0.083201
2007.0363,-0.07869
2007.039,-0.077167
2007.0445,-0.079515
2007.0472,-0.079874
2007.05,-0.089695
2007.0527,-0.081935
2007.0554,-0.079364
2007.0582,-0.084422
2007.0609,-0.089234
2007.0664,-0.083869
2007.0691,-0.084794
2007.0719,-0.084229
2007.0746,-0.087982
2007.0773,-0.087595
2007.0801,-0.085751
2007.0828,-0.088805
2007.0856,-0.082735
2007.0883,-0.087171
2007.091,-0.084627
2007.0938,-0.083576
2007.0965,-0.09057
2007.0992,-0.082715
2007.102,-0.090152
2007.1047,-0.084919
2007.1075,-0.081755
2007.1102,-0.082149
2007.1129,-0.088197
2007.1157,-0.090375
2007.1184,-0.085612
2007.1211,-0.085714
2007.1239,-0.08837
2007.1266,-0.090998
2007.1294,-0.091744
2007.1321,-0.090924
2007.1348,-0.091214
2007.1376,-0.090509
2007.1403,-0.087542
2007.1431,-0.088515
2007.1458,-0.081791
2007.1485,-0.085198
2007.1513,-0.086816
2007.154,-0.086677
2007.1732,-0.088549
2007.1869,-0.088063
2007.1923,-0.085757
2007.1978,-0.088832
2007.2005,-0.088631
2007.2033,-0.087974
2007.206,-0.091354
2007.2088,-0.093069
2007.2115,-0.090179
2007.2142,-0.088091
2007.217,-0.091056
2007.2197,-0.090802
2007.2225,-0.086946
2007.2252,-0.093853
2007.2279,-0.09334
2007.2307,-0.091918
2007.2334,-0.097673
2007.2361,-0.093437
2007.2389,-0.092896
2007.2416,-0.092398
2007.2444,-0.09338
2007.2471,-0.094633
2007.2498,-0.094859
2007.2526,-0.095005
2007.2553,-0.09405
2007.258,-0.096176
2007.2608,-0.095553
2007.2635,-0.096901
2007.2663,-0.094098
2007.269,-0.093715
2007.2717,-0.094142
2007.2745,-0.101681
2007.2772,-0.098599
